Covered_Recipient_Specialty_1,total_payment,median_payment,number_of_payments
Allopathic & Osteopathic Physicians|Otolaryngology|Facial Plastic Surgery,273.59999999999997,18.51,9
Allopathic & Osteopathic Physicians|Emergency Medicine|Sports Medicine,266.56,20.27,4
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Sleep Medicine,264.94,16.58,11
Dental Providers|Advanced Practice Dental Therapist,263.33,263.33,1
Allopathic & Osteopathic Physicians|Nuclear Medicine|Nuclear Imaging & Therapy,242.25,22.74,7
Allopathic & Osteopathic Physicians|Otolaryngology|Plastic Surgery within the Head & Neck,227.66,15.975000000000001,8
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neuromuscular Medicine,205.1,17.049999999999997,12
Allopathic & Osteopathic Physicians|Internal Medicine|Obesity Medicine,205.05,6.04,23
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Allergy/Immunology,204.44,14.93,9
Allopathic & Osteopathic Physicians|Pediatrics|Neurodevelopmental Disabilities,197.29,18.375,10
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pediatric Rehabilitation Medicine,180.14000000000001,56.4,3
Allopathic & Osteopathic Physicians|Otolaryngology|Otolaryngology/Facial Plastic Surgery,145.44,15.28,7
Dental Providers|Denturist,130.31,20.27,3
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Vascular Neurology,127.46000000000001,20.21,7
Allopathic & Osteopathic Physicians|Family Medicine|Adolescent Medicine,118.72,6.76,14
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Geriatric Psychiatry,115.81,115.81,1
Dental Providers|Dentist|Dental Anesthesiology,115.48,115.48,1
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Diagnostic Neuroimaging,107.84,17.48,6
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Hospice and Palliative Medicine,104.66,13.92,7
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurocritical Care,103.59,103.59,1
Allopathic & Osteopathic Physicians|Allergy & Immunology|Clinical & Laboratory Immunology,84.00999999999999,16.74,5
Allopathic & Osteopathic Physicians|Dermatology|Clinical & Laboratory Dermatological Immunology,77.19,14.65,5
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Sports Medicine,75.0,75.0,1
Allopathic & Osteopathic Physicians|Pediatrics|Developmental - Behavioral Pediatrics,67.59,16.875,4
Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Critical Care Medicine,67.09,16.78,4
Allopathic & Osteopathic Physicians|Family Medicine|Obesity Medicine,61.22,6.03,13
Allopathic & Osteopathic Physicians|Preventive Medicine|Addiction Medicine,60.49,60.49,1
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Forensic Psychiatry,57.82,28.91,2
Allopathic & Osteopathic Physicians|Family Medicine|Hospice and Palliative Medicine,50.72,18.38,3
Allopathic & Osteopathic Physicians|Pediatrics|Sleep Medicine,49.75,49.75,1
Allopathic & Osteopathic Physicians|Pathology|Hematology,44.94,44.94,1
Allopathic & Osteopathic Physicians|Internal Medicine|Addiction Medicine,42.49,14.22,3
Allopathic & Osteopathic Physicians|Anesthesiology|Addiction Medicine,39.65,19.825,2
Allopathic & Osteopathic Physicians|Internal Medicine|Adult Congenital Heart Disease,39.33,19.665,2
Allopathic & Osteopathic Physicians|Family Medicine|Addiction Medicine,36.61,18.305,2
Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Hospice and Palliative Medicine,35.59,6.88,5
Allopathic & Osteopathic Physicians|Dermatology|Pediatric Dermatology,31.080000000000002,15.540000000000001,2
Allopathic & Osteopathic Physicians|Pathology|Dermatopathology,30.71,15.355,2
Allopathic & Osteopathic Physicians|Radiology|Diagnostic Ultrasound,30.2,30.2,1
Chiropractic Providers|Chiropractor|Neurology,26.01,26.01,1
Allopathic & Osteopathic Physicians|Independent Medical Examiner,24.88,24.88,1
Allopathic & Osteopathic Physicians|Radiology|Diagnostic Neuroimaging,22.53,22.53,1
Allopathic & Osteopathic Physicians|Pathology|Neuropathology,19.41,19.41,1
Allopathic & Osteopathic Physicians|Internal Medicine|Sports Medicine,18.91,18.91,1
Allopathic & Osteopathic Physicians|Surgery|Hospice and Palliative Medicine,17.43,17.43,1
Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Rheumatology,16.25,16.25,1
Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Medicine,13.29,13.29,1
Allopathic & Osteopathic Physicians|Pathology|Pediatric Pathology,12.76,12.76,1
Dental Providers|Dental Assistant,11.57,11.57,1
Allopathic & Osteopathic Physicians|Family Medicine|Sleep Medicine,11.55,11.55,1
